Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class
3,28,41,"0,01","0,01",0,0,"0,02",31,37
6,29,42,"0,01","0,04",0,"0,01","0,06",31,39
6,27,42,0,"0,01",0,0,"0,01",31,40
6,24,43,0,"0,03",0,"0,01","0,04",30,40
3,18,44,"0,18","0,14",0,"0,05","0,37",30,40
3,18,44,"0,18","0,14",0,"0,05","0,36",30,40
8,22,44,"0,17","0,11",0,"0,02","0,3",31,39
8,23,44,"0,14","0,09",0,"0,02","0,24",31,37
3,28,44,"0,09","0,07",0,"0,02","0,17",31,37
3,22,44,"0,08","0,07",0,"0,02","0,17",31,38
8,22,44,"0,09","0,06",0,"0,01","0,17",31,37
3,18,44,"0,07","0,05",0,"0,02","0,14",31,37
3,22,44,"0,06","0,05",0,"0,02","0,13",31,37
3,20,44,"0,06","0,05",0,"0,02","0,13",30,37
11,18,44,"0,06","0,02",0,0,"0,08",30,40
3,22,44,"0,04","0,03",0,"0,01","0,07",31,37
3,23,44,"0,03","0,02",0,"0,01","0,06",31,37
3,28,44,"0,03","0,02",0,"0,01","0,05",31,37
3,23,44,"0,02","0,02",0,"0,01","0,04",31,37
2,26,45,"3,08","1,91","0,07","0,57","5,64",30,38
2,26,45,"1,6","1,49","0,1","0,39","3,58",30,38
1,26,45,"1,41","1,12","0,05","0,3","2,89",30,38
9,18,45,"1,74","0,45",0,"0,18","2,37",30,37
2,24,45,"0,79","0,42","0,01","0,13","1,35",30,38
4,23,45,"0,38","0,38","0,06","0,14","0,96",32,38
1,26,45,"0,51","0,27","0,01","0,08","0,87",30,38
9,23,45,"0,46","0,28","0,02","0,07","0,84",32,38
5,23,45,"0,24","0,34",0,"0,11","0,69",32,38
4,26,45,"0,34","0,25",0,"0,1","0,68",31,40
9,22,45,"0,35","0,27",0,"0,06","0,68",31,40
14,26,45,"0,5","0,07",0,"0,05","0,61",30,37
5,18,45,"0,07","0,44",0,"0,09","0,6",30,40
9,23,45,"0,33","0,19",0,"0,05","0,57",32,39
1,26,45,"0,47",0,0,"0,04","0,52",33,37
9,26,45,"0,23","0,23",0,"0,05","0,51",31,40
4,23,45,"0,22","0,14",0,"0,08","0,44",32,39
4,22,45,"0,18","0,18",0,"0,07","0,43",31,37
4,22,45,"0,07","0,21","0,09","0,05","0,42",31,40
9,22,45,"0,21","0,15",0,"0,04","0,4",31,37
1,18,45,"0,35","0,01",0,"0,03","0,38",30,37
10,18,45,"0,09","0,25",0,"0,03","0,37",30,40
10,23,45,"0,22","0,11",0,"0,03","0,36",32,38
4,18,45,0,"0,24",0,"0,07","0,32",30,37
3,27,45,"0,14","0,11",0,"0,04","0,28",31,39
9,18,45,"0,03","0,21",0,"0,04","0,28",30,37
9,26,45,"0,19","0,01","0,03","0,02","0,25",31,38
3,27,45,"0,11","0,08",0,"0,03","0,22",31,38
4,26,45,"0,09",0,"0,09","0,01","0,2",31,38
9,18,45,0,"0,16",0,"0,02","0,18",33,39
3,26,45,"0,05","0,04","0,08","0,01","0,18",31,37
1,22,45,"0,11","0,01","0,05","0,01","0,18",33,37
9,26,45,"0,08","0,07",0,"0,02","0,17",31,37
2,24,45,"0,14",0,0,"0,01","0,15",30,37
5,28,45,"0,04","0,08",0,"0,02","0,14",31,40
3,27,45,"0,07","0,06",0,"0,02","0,14",31,38
6,23,45,0,"0,12",0,"0,02","0,14",32,39
7,27,45,"0,07",0,"0,06","0,01","0,14",33,38
7,21,45,"0,12",0,0,"0,01","0,14",31,38
9,25,45,"0,1","0,02",0,"0,01","0,13",31,37
4,25,45,"0,07","0,03",0,"0,02","0,13",32,37
9,23,45,"0,09","0,02",0,"0,01","0,12",31,37
9,18,45,"0,09","0,01",0,"0,01","0,11",30,37
2,24,45,"0,08","0,02",0,"0,01","0,11",30,39
3,25,45,"0,05","0,04",0,"0,01","0,1",31,39
14,22,45,0,"0,05","0,05",0,"0,1",31,39
2,25,45,"0,09",0,0,"0,01","0,1",33,39
1,21,45,"0,09",0,0,"0,01","0,1",31,37
3,25,45,"0,05","0,04",0,"0,01","0,1",31,39
3,27,45,0,0,"0,1",0,"0,1",31,39
2,28,45,"0,06","0,03",0,"0,01","0,09",33,38
6,18,45,"0,02","0,06",0,"0,01","0,09",30,40
7,27,45,"0,07",0,"0,02","0,01","0,09",31,38
9,29,45,"0,07","0,01",0,"0,01","0,09",33,37
9,25,45,"0,07",0,"0,01","0,01","0,09",31,39
3,18,45,"0,04","0,03",0,"0,01","0,09",31,39
9,25,45,"0,05","0,02",0,"0,01","0,08",32,37
3,22,45,"0,04","0,03",0,"0,01","0,08",32,37
3,29,45,"0,04","0,03",0,"0,01","0,08",31,39
