,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
0,#Funtime,Shoot 'em up,OneGuyGames,Quantum Astrophysicists Guild,Unreleased,"Jul 16, 2020","Jul 16, 2020",
1,#killallzombies,Shooter,Beatshapers,Beatshapers,Unreleased,"Nov 12, 2014","Oct 28, 2014",
2,10 Second Ninja X,Platform,Four Circle Interactive,Curve Digital,Unreleased,"Jul 19, 2016","Jul 19, 2016",
3,100ft Robot Golf,Sports,No Goblin,No Goblin,Unreleased,"Oct 10, 2016","Oct 10, 2016",VR
4,101 Ways to Die,"Platform
puzzle",Four Door Lemon,Vision Games,Unreleased,"Mar 22, 2016","Mar 22, 2016",
5,11-11: Memories Retold,Adventure,"Aardman
DigixArt",Bandai Namco Entertainment,"Nov 9, 2018","Nov 9, 2018","Nov 9, 2018",
6,13 Sentinels: Aegis Rim,"Adventure
real-time strategy",Vanillaware,Atlus,"Nov 28, 2019","Sep 22, 2020","Sep 22, 2020",
7,140,Platform,Double Fine Productions,Abstraction Games,Unreleased,"Sep 1, 2016","Sep 1, 2016",
8,198X,Arcade,Hi-Bit Studios,Reset Media,Unreleased,"Jun 20, 2019","Jun 16, 2019",
9,1001 Spikes,Platform,8bits Fanatics,Nicalis,"Nov 27, 2015","Oct 7, 2015","Jun 3, 2014",
10,1979 Revolution: Black Friday,"Adventure
interactive drama",iNK Stories,iNK Stories,Unreleased,"Aug 1, 2018","Jul 31, 2018",
11,2064: Read Only Memories,Graphic adventure,MidBoss,MidBoss,"Jan 17, 2017","Jan 17, 2017","Jan 17, 2017",
12,20XX,"Action
platform",Batterystaple Games,Batterystaple Games,"Jul 10, 2018","Jul 10, 2018","Jul 10, 2018",
13,The 25th Ward: The Silver Case,Visual novel,Grasshopper Manufacture,NIS America,"Mar 15, 2018","Mar 13, 2018","Mar 13, 2018",
14,2Dark,"Horror
stealth",Gloomywood,Bigben Interactive,"Jun 29, 2017","Mar 10, 2017","Mar 10, 2017",
15,39 Days to Mars,"Action
puzzle",It's Anecdotal,It's Anecdotal,"Oct 31, 2019","Oct 29, 2019","Oct 29, 2019",
16,3D Billiards,Sports,Z-Software,Joindots,Unreleased,"Jan 5, 2018","Dec 19, 2017",
17,3D MiniGolf,Sports,Z-Software,Joindots,Unreleased,"Jan 5, 2018","Aug 15, 2017",
18,3 Minutes to Midnight,Point-and-click adventure,Scarecrow Studio,Scarecrow Studio,Unreleased,TBA,TBA,
19,428: Shibuya Scramble,Visual novel,Abstraction Games,Spike Chunsoft,"Sep 6, 2018","Sep 21, 2018","Sep 4, 2018",
20,5 Star Wrestling: ReGenesis,Sports,Serious Parody,Serious Parody,Unreleased,"Jan 20, 2016","Jan 20, 2016",
21,60 Seconds!,"Action-adventure
strategy",Robot Gentleman,Robot Gentleman,Unreleased,"Mar 6, 2020","Mar 6, 2020",
22,7 Days to Die,Survival horror,The Fun Pimps,Telltale Publishing,Unreleased,"Jul 1, 2016","Jun 28, 2016",
23,7th Sector,Action-adventure,Noskov Sergey,Sometimes You,Unreleased,"Feb 5, 2020","Feb 5, 2020",
24,8-bit Adventure Anthology: Volume I,Point-and-click adventure,Abstraction Games,Abstraction Games,Unreleased,"Oct 31, 2017","Oct 31, 2017",
25,8-Bit Armies,Real-time strategy,Petroglyph Games,Soedesco,"Aug 7, 2020","Sep 21, 2018","Sep 21, 2018",
26,8-Bit Hordes,Real-time strategy,Petroglyph Games,Soedesco,"Aug 7, 2020","Feb 1, 2019","Feb 1, 2019",
27,8-Bit Invaders,Real-time strategy,Petroglyph Games,Soedesco,"Aug 7, 2020","Feb 26, 2019","Feb 26, 2019",
28,88 Heroes,Platform,Bitmap Bureau,Rising Star Games,"Mar 24, 2017","Mar 24, 2017","Mar 24, 2017",
29,8 to Glory,Sports,Three Gates,Three Gates,Unreleased,"Sep 14, 2018","Jul 31, 2018",
30,9 Monkeys of Shaolin,Beat 'em up,Sobaka Studio,"JP: Teyon
WW: Buka Entertainment","Oct 16, 2020","Oct 16, 2020","Oct 16, 2020",
31,911 Operator,Platform,Jutsu Games,Code Horizon,Unreleased,"Nov 8, 2017","Nov 8, 2017",
32,99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,Unreleased,"Dec 8, 2017","Jul 18, 2017",CP
33,9th Dawn III,"Action role-playing
dungeon crawl",Valorware,Valorware,Unreleased,"Oct 6, 2020","Oct 6, 2020",
34,Aaero,Shooter,Mad Fellows Games,Reverb Triple XP,"Jan 10, 2018","Apr 11, 2017","Apr 11, 2017",
35,Aaru's Awakening,Platform,Lumenox Games,Lumenox Games,"Aug 5, 2015","Apr 8, 2015","Apr 7, 2015",
36,A Boy and His Blob,"Platform
puzzle",Abstraction Games,Majesco Entertainment,Unreleased,"Jan 19, 2016","Jan 19, 2016",
37,Absolute Drift: Zen Edition,Racing,Funselektor Labs,Flippfly,Unreleased,"Aug 16, 2016","Aug 23, 2016",
38,Absolver,Action role-playing,Sloclap,Devolver Digital,"Aug 22, 2019","Aug 29, 2017","Aug 29, 2017",P
39,Abyss Odyssey,Action,ACE Team,Sega,Unreleased,"Jul 30, 2015","Jul 28, 2015",
40,Abyss: The Wraiths of Eden,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Oct 20, 2017","Oct 20, 2017",
41,Abzû,"Adventure
art",Giant Squid,505 Games,"Aug 2, 2016","Aug 2, 2016","Aug 2, 2016",P
42,Accel World vs. Sword Art Online: Millennium Twilight,Action role-playing,Artdink,Bandai Namco Entertainment,"Mar 16, 2017","Jul 7, 2017","Jul 7, 2017",
43,Ace Combat 7: Skies Unknown,Flight simulator,Project Aces,Bandai Namco Entertainment,"Jan 18, 2019","Jan 18, 2019","Jan 18, 2019",VR
44,Ace of Seafood,Action,Nussoft,Playism,"Nov 11, 2017","Nov 9, 2017","Nov 9, 2017",
45,A Certain Magical Virtual-On,Action,Sega,Sega,"Feb 15, 2018",Unreleased,Unreleased,
46,Aces of the Luftwaffe,Arcade,HandyGames,HandyGames,Unreleased,"Feb 25, 2015","May 19, 2018",
47,Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone,Unreleased,"Nov 21, 2018","Nov 20, 2018",P
48,Act It Out! A Game of Charades,Party,Snap Finger Click,Snap Finger Click,Unreleased,"Jan 12, 2016","Jan 5, 2016",
49,Action Henk,Platformer,RageSquid,"NA: RageSquid
WW: Curve Digital","Mar 9, 2016","Mar 8, 2016","Mar 8, 2016",
50,Active Neurons,Puzzle,Nikolai Usachev,Sometimes You,Unreleased,"Apr 29, 2020","Apr 29, 2020",
51,Adrift,First-person,Three One Zero,505 Games,Unreleased,"Jul 15, 2016","Jul 15, 2016",
52,"<span data-sort-value=""Adventure Pals !"">The Adventure Pals","Adventure
role-playing",Massive Monster,Armor Games,Unreleased,"Apr 3, 2018","Apr 3, 2018",
53,Adventures of Pip,Platform,Tic Toc Games,Tic Toc Games,Unreleased,"Feb 9, 2016","Aug 18, 2015",
54,Adventures of Scarlet Curiosity,Action role-playing,Ankake Supa,Mediascape,"Sep 27, 2016",Unreleased,Unreleased,
55,Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit,Unreleased,"Nov 6, 2015","Oct 20, 2015",
56,Aegis Defenders,"Action
strategy",Guts Department,Guts Department,"Feb 8, 2018","Feb 8, 2018","Feb 8, 2018",
57,Aegis of Earth: Protonovus Assault,Tower defense,Acquire,Aksys Games,"Aug 1, 2016","Apr 22, 2016","Mar 15, 2016",
58,Aeon Must Die!,Beat 'em up,Limestone Games,Focus Home Interactive,2021,2021,2021,
59,AER: Memories of Old,Adventure,Forgotten Key,Daedalic Entertainment,"Oct 25, 2017","Oct 25, 2017","Oct 25, 2017",
60,AeternoBlade,Action-adventure,Corecell Technology,PQube,"Apr 26, 2016","Aug 5, 2015","Aug 4, 2015",
61,AeternoBlade II,Action-adventure,Corecell Technology,PQube,Unreleased,"Oct 11, 2019","Oct 11, 2019",
62,AFL Evolution,Sports,Wicked Witch Software,Tru Blu Entertainment,Unreleased,"May 5, 2017","May 5, 2017",
63,AFL Evolution 2,Sports,Wicked Witch Software,Home Entertainment Suppliers,Unreleased,"Apr 9, 2020","Apr 16, 2020",
64,A Fold Apart,Puzzle,Lightning Rod Games,Lightning Rod Games,Unreleased,"May 19, 2020","May 19, 2020",
65,Afterparty,Adventure,Night School Studio,Night School Studio,Unreleased,"Oct 29, 2019","Oct 29, 2019",
66,Agatha Christie: The ABC Murders,Point-and-click adventure,Artefacts Studio,Microïds,"Apr 28, 2017","Feb 4, 2016","Feb 23, 2016",
67,Agent A: A Puzzle in Disguise,"Adventure
puzzle",Yak,Yak,Unreleased,"Aug 29, 2019","Aug 29, 2019",
68,Agents of Mayhem,"Action, third-person",Volition,Deep Silver,"Dec 7, 2017","Aug 18, 2017","Aug 15, 2017",P
69,Age of Wonders: Planetfall,"4X
turn-based strategy",Triumph Studios,Paradox Interactive,Unreleased,"Aug 6, 2019","Aug 6, 2019",P
70,Aggelos,Action role-playing,Storybird Games,"JP: Arc System Works
WW: PQube","Jul 30, 2020","Jul 12, 2019","Jul 12, 2019",
71,Agony,Survival horror,Madmind Studio,PlayWay,Unreleased,"May 29, 2018","May 29, 2018",
72,A Hat in Time,Platform,Gears for Breakfast,Gears for Breakfast,Unreleased,"Dec 6, 2017","Dec 6, 2017",
73,A Healer Only Lives Twice,Dungeon crawl,Pon Pon Games,Platine Dispositif,Unreleased,"Jul 25, 2017","Jul 25, 2017",
74,A Hole New World,Platformer,Mad Gear Games,"JP: EastAsiaSoft
WW: Hidden Trap","Oct 4, 2019","Oct 6, 2017","Oct 6, 2017",
75,AI-Limit,Action role-playing,Sense Games,Palm Pioneer,TBA,TBA,TBA,
76,AI: The Somnium Files,Adventure,Spike Chunsoft,Spike Chunsoft,"Sep 19, 2019","Sep 20, 2019","Sep 17, 2019",
77,Aikano: Yukizora no Triangle,Visual novel,Prekano,Entergram,"Oct 29, 2020",Unreleased,Unreleased,
78,AIPD,Shoot 'em up,Blazing Badger,Blazing Badger,Unreleased,"Jan 29, 2016","Jan 29, 2016",
79,Air Conflicts: Pacific Carriers,Flight simulator,Games Farm,Kalypso Media,Unreleased,"Nov 6, 2015","Nov 3, 2015",
80,Air Conflicts: Vietnam,Flight simulator,Games Farm,bitComposer Interactive,Unreleased,"Jun 27, 2014","Sep 16, 2014",
81,Aircraft Evolution,Action,Satur Entertainment,Sometimes You,Unreleased,"Jul 22, 2020","Jul 22, 2020",
82,Airport Simulator 2019,Simulation,Toplitz Productions,UIG Entertainment,Unreleased,"Aug 15, 2018","Apr 9, 2019",
83,Airship Q,Action role-playing,Miracle Positive,Miracle Positive,"Nov 19, 2015",Unreleased,Unreleased,
84,A Juggler's Tale,"Platform
puzzle",Kaleidoscube,Mixtvision Games,2021,2021,2021,
85,Akiba's Beat,Action role-playing,Acquire,Marvelous USA,"Dec 15, 2016","Mar 19, 2017","May 2, 2017",P
86,Akiba's Trip: Undead & Undressed,Action role-playing,Acquire,Marvelous USA,"Jul 3, 2014","Feb 13, 2015","Nov 25, 2014",
87,Akita Oga Mystery Guide: The Frozen Silverbell Flower,Adventure,Happymeal,Flyhigh Works,TBA,Unreleased,Unreleased,
88,Alaloth: Champions of The Four Kingdoms,Action role-playing,Gamera,Gamera,Unreleased,TBA,TBA,
89,Alekhine's Gun,"Action
stealth",Haggard Games,Maximum Games,"Nov 10, 2015","Mar 11, 2016","Nov 1, 2015",
90,Aleste Collection,Shoot 'em up,M2,M2,"Dec 24, 2020",Unreleased,Unreleased,
91,Alex Kidd in Miracle World DX,Platform,"Merge Games
Jankenteam",Merge Games,2021,2021,2021,
92,Alienation,Shoot 'em up,Housemarque,Sony Interactive Entertainment,"Jun 2, 2016","Apr 26, 2016","Apr 26, 2016",
93,Alien: Isolation,Survival horror,Creative Assembly,Sega,"Jun 11, 2015","Oct 7, 2014","Oct 7, 2014",C
94,The Alliance Alive HD Remastered,Role-playing,Cattle Call,"JP: FuRyu
WW: NIS America","Oct 10, 2019","Oct 11, 2019","Oct 8, 2019",
95,All-Star Fruit Racing,Racing,Blowfish Studios,Blowfish Studios,"Jul 13, 2018","Jul 13, 2018","Jul 13, 2018",
96,Alone with You,Adventure,Benjamin Rivers,Benjamin Rivers,Unreleased,"Aug 23, 2016","Aug 23, 2016",
97,"<span data-sort-value=""Alto Collection !"">The Alto Collection",Endless runner,Team Alto,Snowman,Unreleased,"Aug 30, 2020","Aug 13, 2020",C
98,Alwa's Awakening,Platform,Elden Pixels,Elden Pixels,Unreleased,"Mar 21, 2019","Mar 21, 2019",
99,Alwa's Legacy,Platform,Elden Pixels,Elden Pixels,Unreleased,2020,2020,
100,Always Sometimes Monsters,Role-playing,Vagabond Dog,Devolver Digital,Unreleased,"Oct 10, 2017","Oct 10, 2017",
101,The Amazing American Circus,Adventure,Juggler Games,Klabater,Unreleased,2021,2021,
102,Amazing Discoveries in Outer Space,Platform,Cosmic Picnic,Cosmic Picnic,Unreleased,"Feb 3, 2016","Feb 2, 2016",
103,The Amazing Spider-Man 2,Action-adventure,Beenox,Activision,"Sep 4, 2014","May 2, 2014","Apr 29, 2014",
104,American Fugitive,"Action
sandbox","JP: Teyon Japan
WW: Curve Digital",Fallen Tree Games,"Jan 30, 2020","May 21, 2019","May 21, 2019",
105,Amnesia Collection,"Adventure
survival horror",Frictional Games,Frictional Games,Unreleased,"Nov 22, 2016","Nov 22, 2016",P
106,Amnesia: Rebirth,"Adventure
survival horror",Frictional Games,Frictional Games,Unreleased,"Oct 20, 2020","Oct 20, 2020",P
107,Amoeba Battle: Microscopic RTS Action,Real-time strategy,Grab Games,Grab Games,Unreleased,"Mar 4, 2020","Mar 3, 2020",
108,Among the Sleep,Survival horror,Krillbite Studio,Krillbite Studio,Unreleased,"Dec 10, 2015","Dec 10, 2015",
109,Amplitude,"Music
rhythm",Harmonix,Harmonix,Unreleased,"Jan 5, 2016","Jan 5, 2016",
110,Anarcute,Action,AnarTeam,AnarTeam,"Feb 20, 2018",Unreleased,Unreleased,
111,Ancestors Legacy,Real-time strategy,Destructive Creations,"JP: DMM Games
WW: Destructive Creations","Dec 19, 2019","Aug 13, 2019","Aug 13, 2019",
112,Ancestors: The Humankind Odyssey,Survival,Panache Digital Games,Private Division,"Dec 6, 2019","Dec 6, 2019","Dec 6, 2019",
113,Anew: The Distant Light,"Action
puzzle",Resonator,Resonator,Unreleased,TBA,TBA,
114,AngerForce: Reloaded,Shoot 'em up,Screambox Studio,Zodiac Interactive,"Aug 8, 2019","Apr 2, 2019","Apr 2, 2019",
115,Angry Birds Star Wars,Puzzle,Exient Entertainment,Activision,Unreleased,"Nov 29, 2013","Nov 15, 2013",C M
116,The Angry Video Game Nerd I & II Deluxe,Platform,FreakZone Games,Screenwave Media,Unreleased,TBA,TBA,
117,Anima: Gate of Memories,Action role-playing,Anima Project,BadLand Games,"Jan 1, 2017","Jun 3, 2016","Mar 21, 2017",
118,Anno: Mutationem,Action role-playing,ThinkingStars,ThinkingStars,Dec 2020,Dec 2020,Dec 2020,
119,Anodyne,Role-playing,Analgesic Productions,Nnooo,Unreleased,"Sep 19, 2018","Sep 18, 2018",
120,Anoko wa Ore kara Hanarenai,Visual novel,Giga,Technical Group Laboratory,"Dec 18, 2014",Unreleased,Unreleased,
121,Anomaly 2,Real-time strategy,11 Bit Studios,11 Bit Studios,Unreleased,"Sep 17, 2014","Sep 16, 2014",
122,Anonymous;Code,Visual novel,"Mages
Chiyomaru Studio",Mages,Q4 2021,Unreleased,Unreleased,
123,Another World: 20th Anniversary Edition,Cinematic platformer,The Digital Lounge,The Digital Lounge,Unreleased,"Jun 25, 2014","Jun 25, 2014",
124,Anthem,Action role-playing,BioWare,Electronic Arts,"Feb 22, 2019","Feb 22, 2019","Feb 22, 2019",P
125,Antiquia Lost,Role-playing,Exe Create,Kemco,"Aug 16, 2017","Sep 5, 2017","Sep 5, 2017",
126,Aokana: Four Rhythm Across the Blue,Visual novel,Sprite,"JP: Sprite
WW: PQube","Jan 26, 2017","Aug 21, 2020","Aug 21, 2020",
127,AO Tennis,Sports,Big Ant Studios,Big Ant Studios,Unreleased,"Jan 16, 2018","May 8, 2018",
128,AO Tennis 2,Sports,Big Ant Studios,Big Ant Studios,"May 14, 2018","Jan 9, 2020","Feb 11, 2020",
129,A Pixel Story,"Platform, puzzle",Lamplight Studios,Rising Star Games,Unreleased,"Feb 24, 2017","Feb 24, 2017",
130,A Plague Tale: Innocence,Action-adventure,Asobo Studio,"JP: Oizumi Amuseo
WW: Focus Home Interactive","Nov 28, 2019","May 14, 2019","May 14, 2019",P
131,Apocalypse,Action role-playing,Future Tech,Future Tech,Unreleased,TBA,TBA,
132,Apotheon,"Action role-playing, platform",Alientrap,Alientrap,Unreleased,"Feb 3, 2015","Feb 3, 2015",
